device,ip,bacnet_name,bacnet_desc,p8s_zone_as_recorded,attributed,temp_sensorId,damper_sensorId,occ_sensorId
device 50551,192.168.5.51,ECY-VAV-D02A0F,VAV 5-1,Bessemer Trust (Bessemer Group),yes,93745a21-8360-489b-bba9-0bb5515a2826,42b6ee31-54db-4e0d-9786-96314ed364e0,91cca859-6630-4a72-89b8-b956ce3f6a75
device 50561,192.168.5.61,ECY-VAV-237100,VAV 5-11,Bessemer Trust (Bessemer Group),yes,0d9748b1-2e66-4143-a754-f7ec06f7683f,66e48bb6-4706-43dc-8013-9ca54af0ba1c,02f2fd01-5995-4f94-b7c9-2b9c2205d1fe
device 50562,192.168.5.62,ECY-VAV-CFECDF,VAV 5-12,Bessemer Trust (Bessemer Group),yes,f8a14839-5aad-4059-a224-ada2fd5d9013,b91ac802-5219-4173-81d4-e52e688a6b0f,bcb79927-20ed-47c0-9015-d6d0914ccd61
device 50563,192.168.5.63,ECY-VAV-C23169,VAV 5-13,Bessemer Trust (Bessemer Group),yes,3c019802-c920-4254-acf8-fd3d7e865af3,d060a730-1859-4e40-a7d7-0467364546da,9cc43626-e1e7-4027-856b-befb981fe3a6
device 50552,192.168.5.52,ECY-VAV-C3ABF9,VAV 5-2,Bessemer Trust (Bessemer Group),yes,ae90f62d-b47e-4998-ac9b-25d957a4a2ae,941feac9-5a47-4b1b-a0b0-2bdc280ddabe,68a95c1f-208d-408c-9a83-d692fb71ac4e
device 50553,192.168.5.53,ECY-VAV-C05D03,VAV 5-3,Bessemer Trust (Bessemer Group),yes,ed3f494d-908c-4141-8a5f-b222194b07b0,11c2dc83-fb77-4bca-a467-845eea83a6fe,2db8bae9-b26f-4492-b15f-984fe954ab88
device 50554,192.168.5.54,ECY-VAV-CFECD6,VAV 5-4,Bessemer Trust (Bessemer Group),yes,597adbc4-839f-4aa9-9c40-cb6530facbbc,6111980a-563b-4446-8263-ff8e6d3b9700,5062d8d3-047f-408e-a7bf-ea8011ffaa85
device 50555,192.168.5.55,ECY-VAV-2330BD,VAV 5-5,Bessemer Trust (Bessemer Group),yes,4570a341-7c68-4af4-8a4e-ed9062b7710e,a6a14852-70f9-48b4-8e34-f0c349b3e5fb,a7732d9a-ee8c-4869-bcb7-a1c586c4ee6e
device 50557,192.168.5.57,ECY-VAV-1673C2,VAV 5-7,Bessemer Trust (Bessemer Group),yes,d990d982-7c19-4c5e-ad3d-ba7d0c885f81,89ca367d-b5a9-4422-bc44-87319414e8dd,3b17e997-3ead-49ce-8a20-5348c54c7a15
device 50558,192.168.5.58,ECY-VAV-D18D74,VAV 5-8,Bessemer Trust (Bessemer Group),yes,a77a82da-ce8c-4edf-9219-8b819a1ba250,e5728571-4f56-43c4-905d-14e6350918ee,8399714d-b8f9-4001-9af4-70e82f6ab517
device 50559,192.168.5.59,ECY-VAV-D0062A,VAV 5-9,Bessemer Trust (Bessemer Group),yes,de1a92f4-9089-4c34-ae02-beb882fd6b4e,9f3f3bcd-2eb3-473d-8afb-1ce298f0f680,f0529089-0b48-4cea-b860-aa53b05226f2
device 50556,192.168.5.56,ECY-VAV-D1A08E,VAV-5-6,Bessemer Trust (Bessemer Group),yes,2f074cef-cf34-42a7-b82c-d7d3a70b2b03,4bde7fdd-001b-46d7-b138-89c6ee24069b,ac53555b-db52-432e-a1b2-5e698fe17fc8
device 3141,192.168.3.141,ECY-VAV-3E1D7A,,"Bruin Capital Partners, LLC",yes,5d8b8701-1339-4910-97d6-87080407d1e2,e34b33cc-dd8c-4c8c-9c31-10d52a15e4bf,eeef6ff2-5fd0-462e-8469-64241ded453e
device 3142,192.168.3.142,ECY-VAV-3E25FC,,"Bruin Capital Partners, LLC",yes,66225ccf-1a8e-4020-bb99-d897c5a1cad9,126e9459-59aa-43e3-865c-decbb06858a1,fd55ca78-4c2d-46aa-972b-3a0b99442213
device 3143,192.168.3.143,ECY-VAV-391EC0,,"Bruin Capital Partners, LLC",yes,a593d074-7447-48ad-a4b7-e237cebdc240,91f28b04-f521-4aba-88de-b60d6d08e0a1,966202d5-ef75-4680-94ca-0ae4fd4c9716
device 3144,192.168.3.144,ECY-VAV-E11C01,,"Bruin Capital Partners, LLC",yes,646947ef-ae70-464e-a23d-9d17f66fb229,bb63fc39-e1a8-4d9e-8344-75428b5ef3c8,08d6edc1-491d-4f39-87f5-4066f37435b5
device 3145,192.168.3.145,ECY-VAV-3E4075,,"Bruin Capital Partners, LLC",yes,0f750dbc-6f2d-4321-a246-ce2221d0ee92,8fc497e5-6da6-4502-acc6-f491aaaefecf,69b474d7-c91c-4282-8de9-681accb3b13f
device 3146,192.168.3.146,ECY-VAV-8058C5,,"Bruin Capital Partners, LLC",yes,fc9a26f5-1153-4a6e-ad30-c8c61fd34354,7fdbb454-fde4-4f43-bd92-e9e7890573f1,5c86b85b-2de9-47b9-91a3-ab85291db5ab
device 3147,192.168.3.147,ECY-VAV-3E406C,,"Bruin Capital Partners, LLC",yes,ea9d7713-0460-48ed-9df6-b71988f019c8,d5574558-24e9-4a44-8680-097357b6ee18,e97b2a5b-a58e-4d0e-ab42-b77c155939da
