genea_area_id,suite,genea_tenant,hvac_rate,p8s_zone,p8s_vav_count,paid_hours_mar_aug
20876,Suite 550,Bessemer Trust,45,Bessemer Trust (Bessemer Group),12,1.5
20877,Suite 300,Bruin Capital Partners,45,"Bruin Capital Partners, LLC",9,0.5
20878,Suite 420,Capital Gurus,45,Capital Gurus,5,1.5
20879,Suite 500,Clark Hill,45,Clark Hill,9,15.5
38139,1st Level,Conference Room,0,,,0
20880,Suite 150,Douglas Elliman,45,,,1.0
20881,Suite 310,Dr. Snyder Cosmetic Dentistry,45,Dr. Snyder Cosmetic Dentistry,1,0
20882,Suite 350,Edelman Financial Engines,45,Edelman Financial (Edelman Financial Engines),4,0.5
20883,Suite 530,ER Injury,45,ER Injury Attorneys,10,0
20884,Suite 630A,Ghost Beverages,45,Ghost Beverages,11,0
20885,Suite 640,Ghost Beverages,45,Ghost Beverages,11,0
20886,Suite 600,Hearst Healthcare,45,Hearst Healthcare (Hearst Healthcare Holdings.),7,0.5
20887,Suite 250,Howard Hughes,45,Howard Hughes Holdings (Howard Hughes Management Services,15,2.0
39780,Suite 120,Howard Hughes Management Services (Summerlin Gallery),45,Howard Hughes Holdings (Howard Hughes Management Services,15,63.0
20888,Suite 610,Malibu Management,45,Malibu Management Inc.,4,0.5
20940,Suite 320,Mass Mutual,45,Mass Mutual (Massachusetts Mutual Life Insurance Company),5,0
20889,Suite 800,MP Mine Operations,45,,,48.0
20890,Suite 450,New York Life,45,New York Life Insurance,11,17.0
20891,Suite 460,Northmarq,45,Northmarq (Northmarq Capital),6,0
20892,Suite 400,PNC Bank,45,"PNC Bank, National Association",11,2.5
20941,Suite 330,Rimini Street,45,"Rimini Street, Inc.",5,0
20942,Suite 700,Snell & Wilmer,45,Snell & Wilmer,22,90.3
20893,Suite 315,The Cirrus Company,45,The Cirrus Company,4,0
20894,Suite 650,The Northern Trust,45,The Northern Trust (The Northern Trust Company),8,0
20895,Suite 950,Touchstone Living,45,Touchstone Living,12,2.0
20896,Suite 200,TSG Consumer Partners LP,45,TSG Consumer Partners,4,0.5
20943,Suite 1000,Wynn Design & Development,45,"Wynn Design & Development, LLC",12,619.0
20944,Suite 900,Wynn Design & Development,45,"Wynn Design & Development, LLC",12,619.0
