device,device_twin_id,bacnetHost,isMountedInBuildingComponent,tenant_or_room,objectId,littera,popularName,deviceQuantityKind,deviceMeasurementUnit,devicePlacementContext,pollingPeriod,dataSource,scaleFactor,logicalDeviceId
device 1,c0c5ee37-32a9-4ddc-a920-e280839827ce,192.168.4.68,4788521b-55f1-4595-b189-8f844e1790b6,"PNC Bank, National Association",multi-state-value 15,multi-state-value 15,device 1/OccupancyStatus,CapabilityTypeState,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 1,c0c5ee37-32a9-4ddc-a920-e280839827ce,192.168.4.68,4788521b-55f1-4595-b189-8f844e1790b6,"PNC Bank, National Association",analog-value 47,analog-value 47,device 1/BypassTime,CapabilityTypeParameter,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 10101,b54f2c7b-a586-4d71-9bc5-1726ad0ab251,192.168.1.11,394cfcf4-e4a4-4164-9677-40c6250dddd1,MECH. ROOM,multi-state-value 15,multi-state-value 15,device 10101/OccupancyStatus,CapabilityTypeState,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 10101,b54f2c7b-a586-4d71-9bc5-1726ad0ab251,192.168.1.11,394cfcf4-e4a4-4164-9677-40c6250dddd1,MECH. ROOM,analog-value 47,analog-value 47,device 10101/BypassTime,CapabilityTypeParameter,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 10104,d8f785a3-f24c-42eb-a05a-9b56dfd637c7,192.168.1.14,29c8bf57-f63f-4611-b8c7-89c76ca5355b,MECH. ROOM,multi-state-value 15,multi-state-value 15,device 10104/OccupancyStatus,CapabilityTypeState,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 10104,d8f785a3-f24c-42eb-a05a-9b56dfd637c7,192.168.1.14,29c8bf57-f63f-4611-b8c7-89c76ca5355b,MECH. ROOM,analog-value 47,analog-value 47,device 10104/BypassTime,CapabilityTypeParameter,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 10105,eb2db0af-0268-422f-9412-e135137570b6,192.168.1.15,394cfcf4-e4a4-4164-9677-40c6250dddd1,MECH. ROOM,multi-state-value 15,multi-state-value 15,device 10105/OccupancyStatus,CapabilityTypeState,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 10105,eb2db0af-0268-422f-9412-e135137570b6,192.168.1.15,394cfcf4-e4a4-4164-9677-40c6250dddd1,MECH. ROOM,analog-value 47,analog-value 47,device 10105/BypassTime,CapabilityTypeParameter,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 10106,7f98c130-5cab-4d38-ac8c-dbd202fe7f27,192.168.1.16,29c8bf57-f63f-4611-b8c7-89c76ca5355b,MECH. ROOM,multi-state-value 15,multi-state-value 15,device 10106/OccupancyStatus,CapabilityTypeState,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 10106,7f98c130-5cab-4d38-ac8c-dbd202fe7f27,192.168.1.16,29c8bf57-f63f-4611-b8c7-89c76ca5355b,MECH. ROOM,analog-value 47,analog-value 47,device 10106/BypassTime,CapabilityTypeParameter,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 10107,d3e17997-fbcd-47bd-9a34-9c533aa83a21,192.168.1.16,394cfcf4-e4a4-4164-9677-40c6250dddd1,MECH. ROOM,multi-state-value 15,multi-state-value 15,device 10107/OccupancyStatus,CapabilityTypeState,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 10107,d3e17997-fbcd-47bd-9a34-9c533aa83a21,192.168.1.16,394cfcf4-e4a4-4164-9677-40c6250dddd1,MECH. ROOM,analog-value 47,analog-value 47,device 10107/BypassTime,CapabilityTypeParameter,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 101081,4c8720f5-886f-4644-884b-b37787e78f0a,192.168.4.60,4788521b-55f1-4595-b189-8f844e1790b6,"PNC Bank, National Association",multi-state-value 15,multi-state-value 15,device 101081/OccupancyStatus,CapabilityTypeState,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 101081,4c8720f5-886f-4644-884b-b37787e78f0a,192.168.4.60,4788521b-55f1-4595-b189-8f844e1790b6,"PNC Bank, National Association",analog-value 47,analog-value 47,device 101081/BypassTime,CapabilityTypeParameter,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 10109,9a32430d-593e-4bc3-8275-38249334149d,192.168.1.19,29c8bf57-f63f-4611-b8c7-89c76ca5355b,MECH. ROOM,multi-state-value 15,multi-state-value 15,device 10109/OccupancyStatus,CapabilityTypeState,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
device 10109,9a32430d-593e-4bc3-8275-38249334149d,192.168.1.19,29c8bf57-f63f-4611-b8c7-89c76ca5355b,MECH. ROOM,analog-value 47,analog-value 47,device 10109/BypassTime,CapabilityTypeParameter,,HVAC,900000,poll,1.0,2c28ab21-f7cf-4c82-ba42-abf56a888297
