device,ip,bas_name,occ_sensorId,current_zone,target_tenant,target_zone_uuid,evidence,confidence
device 169,192.168.0.169,Wynn VAV 10-19,5ea95545-75d2-487a-a15e-60f9e3e1209e,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 170,192.168.0.170,Wynn VAV 10-20,da6984e5-4bfa-42c6-a37e-deee7ba9de38,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 165,192.168.0.165,Wynn VAV 10-15,a307b34a-f799-4ba1-b07d-a33fd2432b34,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 184,192.168.0.184,Wynn VAV 10-34,21365964-ccc7-4387-ab04-5a774830b0db,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 151,192.168.0.151,Wynn VAV 10-1,2c4e0e65-ade2-48a9-80b0-655893477590,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 171,192.168.0.171,Wynn VAV 10-21,7f77d060-adef-438c-b0ab-cfe1219a9f91,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 174,192.168.0.174,Wynn VAV 10-24,ef838b03-f761-4688-8074-972500714733,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 173,192.168.0.173,Wynn VAV 10-23,05811dc3-b685-419a-9a32-90f6aa1e6eda,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 152,192.168.0.152,Wynn VAV 10-2,06ccbbdb-e5b3-4126-ba57-16f1c894b717,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 160,192.168.0.160,Wynn VAV 10-10,fc709825-f30d-4d0f-ae36-715f8781a8a6,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 159,192.168.0.159,Wynn VAV 10-9,79b5ab5b-4285-49d0-98e7-2cbf8d008e8d,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 183,192.168.0.183,Wynn VAV 10-33,e4dc24a0-ebb2-4481-9ec7-16175a12ec35,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 161,192.168.0.161,Wynn VAV 10-11,01cfd613-d5e0-416f-bdb5-d2f744e4c67e,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 181,192.168.0.181,Wynn VAV 10-31,e7324487-3a5e-4e10-b857-bf23c26d9ef6,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
device 154,192.168.0.154,Wynn VAV 10-4,26f7549e-1d8b-4132-9ed0-0776d5e270fc,TENANT SPACE,Wynn Suite 1000,*** CREATE ZONE ***,"name says Wynn, BAS floor 10 = Wynn Suite 1000",HIGH
