change,device,instance,objectId,objectName,current_batch,current_poll_s,new_poll_s
cadence 900s -> 60s,AHU-J1-9,723101,analog-input 42,Condensing Saturated Temperature Circuit 1,W0-smoke,900,60
cadence 900s -> 60s,AHU-J1-9,723101,analog-input 43,Condensing Saturated Temperature Circuit 2,W0-smoke,900,60
cadence 900s -> 60s,AHU-J1-9,723101,analog-input 44,Condensing Saturated Temperature Circuit 3,W0-smoke,900,60
cadence 900s -> 60s,AHU J2-9,723102,analog-input 42,Condensing Saturated Temperature Circuit 1,W0-smoke,900,60
cadence 900s -> 60s,AHU J2-9,723102,analog-input 43,Condensing Saturated Temperature Circuit 2,W0-smoke,900,60
cadence 900s -> 60s,AHU J2-9,723102,analog-input 44,Condensing Saturated Temperature Circuit 3,W0-smoke,900,60
cadence 900s -> 60s,AHU J1-8,723104,analog-input 42,Condensing Saturated Temperature Circuit 1,W1-operational,900,60
cadence 900s -> 60s,AHU J1-8,723104,analog-input 43,Condensing Saturated Temperature Circuit 2,W1-operational,900,60
cadence 900s -> 60s,AHU J1-8,723104,analog-input 44,Condensing Saturated Temperature Circuit 3,W1-operational,900,60
cadence 900s -> 60s,AHU J2-8,723105,analog-input 42,Condensing Saturated Temperature Circuit 1,W1-operational,900,60
cadence 900s -> 60s,AHU J2-8,723105,analog-input 43,Condensing Saturated Temperature Circuit 2,W1-operational,900,60
cadence 900s -> 60s,AHU J2-8,723105,analog-input 44,Condensing Saturated Temperature Circuit 3,W1-operational,900,60
cadence 900s -> 60s,AHU-J1-7,723107,analog-input 42,Condensing Saturated Temperature Circuit 1,W1-operational,900,60
cadence 900s -> 60s,AHU-J1-7,723107,analog-input 43,Condensing Saturated Temperature Circuit 2,W1-operational,900,60
cadence 900s -> 60s,AHU-J1-7,723107,analog-input 44,Condensing Saturated Temperature Circuit 3,W1-operational,900,60
cadence 900s -> 60s,AHU-J2-7,723108,analog-input 42,Condensing Saturated Temperature Circuit 1,W1-operational,900,60
cadence 900s -> 60s,AHU-J2-7,723108,analog-input 43,Condensing Saturated Temperature Circuit 2,W1-operational,900,60
cadence 900s -> 60s,AHU-J2-7,723108,analog-input 44,Condensing Saturated Temperature Circuit 3,W1-operational,900,60
cadence 900s -> 60s,AHU-J1-6,723110,analog-input 42,Condensing Saturated Temperature Circuit 1,W1-operational,900,60
cadence 900s -> 60s,AHU-J1-6,723110,analog-input 43,Condensing Saturated Temperature Circuit 2,W1-operational,900,60
cadence 900s -> 60s,AHU-J1-6,723110,analog-input 44,Condensing Saturated Temperature Circuit 3,W1-operational,900,60
cadence 900s -> 60s,AHU-J2-6,723111,analog-input 42,Condensing Saturated Temperature Circuit 1,W1-operational,900,60
cadence 900s -> 60s,AHU-J2-6,723111,analog-input 43,Condensing Saturated Temperature Circuit 2,W1-operational,900,60
cadence 900s -> 60s,AHU-J2-6,723111,analog-input 44,Condensing Saturated Temperature Circuit 3,W1-operational,900,60
cadence 900s -> 60s,AHU-J1-5,723113,analog-input 42,Condensing Saturated Temperature Circuit 1,W1-operational,900,60
cadence 900s -> 60s,AHU-J1-5,723113,analog-input 43,Condensing Saturated Temperature Circuit 2,W1-operational,900,60
cadence 900s -> 60s,AHU-J1-5,723113,analog-input 44,Condensing Saturated Temperature Circuit 3,W1-operational,900,60
cadence 900s -> 60s,AHU-J2-5,723114,analog-input 42,Condensing Saturated Temperature Circuit 1,W1-operational,900,60
