unit,instance,floor,riser,object_id,vendor_name,units,sensor_uuid,device_uuid,sample
AHU-J1-9,723101,9,J1,analog-input 35,Condenser Water Entering Temperature,degrees-fahrenheit,81bea6d9-257d-4ace-a8fe-4d1ba4f1cbe1,fa14dc51-0010-4416-8401-57424dee8777,78.697265625
AHU-J1-9,723101,9,J1,analog-input 46,Condenser Water Leaving Temperature Active,degrees-fahrenheit,d4e2f551-dc29-4436-a637-a7f6ef5aca18,fa14dc51-0010-4416-8401-57424dee8777,78.705078125
AHU-J1-9,723101,9,J1,analog-input 47,Condenser Water Temperature Local,degrees-fahrenheit,67935f1b-4f93-4681-817d-68f88d76539f,fa14dc51-0010-4416-8401-57424dee8777,78.416015625
AHU-J1-9,723101,9,J1,analog-input 38,Evaporator Leaving Temperature Circuit 1,degrees-fahrenheit,a92568c0-56c1-44f0-a072-d001d1f972e1,fa14dc51-0010-4416-8401-57424dee8777,56.763671875
AHU-J1-9,723101,9,J1,analog-input 39,Evaporator Leaving Temperature Circuit 2,degrees-fahrenheit,32664ae8-a641-46ca-9ce2-fa19e29864e8,fa14dc51-0010-4416-8401-57424dee8777,48.130859375
AHU-J1-9,723101,9,J1,analog-input 40,Evaporator Leaving Temperature Circuit 3,degrees-fahrenheit,e4d82141-60e0-472d-ab14-03bfde6e4e26,fa14dc51-0010-4416-8401-57424dee8777,54.947265625
AHU-J1-9,723101,9,J1,analog-input 42,Condensing Saturated Temperature Circuit 1,degrees-fahrenheit,25c13048-1a79-4a35-b516-3d3096ccd035,fa14dc51-0010-4416-8401-57424dee8777,78.220703125
AHU-J1-9,723101,9,J1,analog-input 43,Condensing Saturated Temperature Circuit 2,degrees-fahrenheit,42bf1cd3-06ff-4ae5-a1ec-245d14842333,fa14dc51-0010-4416-8401-57424dee8777,90.974609375
AHU-J1-9,723101,9,J1,analog-input 44,Condensing Saturated Temperature Circuit 3,degrees-fahrenheit,3a1606b7-41b8-47d9-9706-d9ebe2cb96b0,fa14dc51-0010-4416-8401-57424dee8777,78.373046875
AHU-J1-9,723101,9,J1,analog-input 25,Mixed Air Temperature,degrees-fahrenheit,b7457e63-a84d-4030-90ec-cda7c8010816,fa14dc51-0010-4416-8401-57424dee8777,75.001953125
AHU-J1-9,723101,9,J1,analog-input 24,Discharge Air Temperature Active,degrees-fahrenheit,6d40abca-19a0-4bc2-a4a8-1114b8ab5279,fa14dc51-0010-4416-8401-57424dee8777,58.158203125
AHU-J1-9,723101,9,J1,analog-input 15,Space Temperature Active,degrees-fahrenheit,7825d1ce-807b-4a45-9246-3229726100d5,fa14dc51-0010-4416-8401-57424dee8777,76.908203125
AHU-J1-9,723101,9,J1,analog-input 18,Outdoor Air Temperature Active,degrees-fahrenheit,107e0318-07d5-4a25-85e9-f7181c806977,fa14dc51-0010-4416-8401-57424dee8777,75.041015625
AHU-J1-9,723101,9,J1,analog-input 52,Discharge Air Temperature Setpoint Active,degrees-fahrenheit,4392f183-5bd4-4101-bbf8-e068e1790d84,fa14dc51-0010-4416-8401-57424dee8777,0.0
AHU-J1-9,723101,9,J1,analog-input 50,Space Temperature Setpoint Active,degrees-fahrenheit,e1e4a89a-5aee-4912-977d-20699bbfcb85,fa14dc51-0010-4416-8401-57424dee8777,72.501953125
AHU-J1-9,723101,9,J1,analog-input 28,Duct Static Pressure Active,inches-of-water,0901677b-b588-4cd7-b94f-0fc62eb2dec1,fa14dc51-0010-4416-8401-57424dee8777,1.51220703125
AHU J2-9,723102,9,J2,analog-input 35,Condenser Water Entering Temperature,degrees-fahrenheit,4be185ed-0ca7-4cc8-a9f0-1bdcbf6dd30a,6f4d1cfe-3c54-4722-bb43-436ec23306af,77.943359375
AHU J2-9,723102,9,J2,analog-input 46,Condenser Water Leaving Temperature Active,degrees-fahrenheit,87d5645f-0757-482a-97ab-1c0dc3966b49,6f4d1cfe-3c54-4722-bb43-436ec23306af,80.251953125
AHU J2-9,723102,9,J2,analog-input 47,Condenser Water Temperature Local,degrees-fahrenheit,d079eb61-0aa9-4bce-82c3-5e42a96e0add,6f4d1cfe-3c54-4722-bb43-436ec23306af,80.177734375
AHU J2-9,723102,9,J2,analog-input 38,Evaporator Leaving Temperature Circuit 1,degrees-fahrenheit,f8aec2db-5e84-43e1-a27f-7c6ba7b4554a,6f4d1cfe-3c54-4722-bb43-436ec23306af,35.095703125
AHU J2-9,723102,9,J2,analog-input 39,Evaporator Leaving Temperature Circuit 2,degrees-fahrenheit,d0fdfe47-2121-4cf4-ad67-ddbea02a6025,6f4d1cfe-3c54-4722-bb43-436ec23306af,61.158203125
AHU J2-9,723102,9,J2,analog-input 40,Evaporator Leaving Temperature Circuit 3,degrees-fahrenheit,c2caae5b-18e8-4858-88df-5226608d85c4,6f4d1cfe-3c54-4722-bb43-436ec23306af,56.248046875
AHU J2-9,723102,9,J2,analog-input 42,Condensing Saturated Temperature Circuit 1,degrees-fahrenheit,c275f9b6-6c70-410c-834c-5eb9af96c4f8,6f4d1cfe-3c54-4722-bb43-436ec23306af,95.771484375
AHU J2-9,723102,9,J2,analog-input 43,Condensing Saturated Temperature Circuit 2,degrees-fahrenheit,fb7aba03-bc58-4b10-a188-3ea4ce619ba6,6f4d1cfe-3c54-4722-bb43-436ec23306af,78.533203125
AHU J2-9,723102,9,J2,analog-input 44,Condensing Saturated Temperature Circuit 3,degrees-fahrenheit,4b143829-46c7-4dde-913a-58d8775ecb18,6f4d1cfe-3c54-4722-bb43-436ec23306af,76.521484375
AHU J2-9,723102,9,J2,analog-input 25,Mixed Air Temperature,degrees-fahrenheit,9e9ae1bf-ae3c-49fe-a9d7-133ffdb4aa93,6f4d1cfe-3c54-4722-bb43-436ec23306af,75.185546875
AHU J2-9,723102,9,J2,analog-input 24,Discharge Air Temperature Active,degrees-fahrenheit,605f99dd-f086-4e10-bf6f-3fd7ed8e4c3c,6f4d1cfe-3c54-4722-bb43-436ec23306af,57.376953125
AHU J2-9,723102,9,J2,analog-input 15,Space Temperature Active,degrees-fahrenheit,6d581cad-f06f-489b-9853-047eae0dd3a5,6f4d1cfe-3c54-4722-bb43-436ec23306af,77.001953125
AHU J2-9,723102,9,J2,analog-input 18,Outdoor Air Temperature Active,degrees-fahrenheit,a033cf1d-fbc2-42b0-8fd4-d6d589886ba3,6f4d1cfe-3c54-4722-bb43-436ec23306af,82.205078125
AHU J2-9,723102,9,J2,analog-input 52,Discharge Air Temperature Setpoint Active,degrees-fahrenheit,59197150-4209-457b-9417-4e5a06e3c6cf,6f4d1cfe-3c54-4722-bb43-436ec23306af,0.0
AHU J2-9,723102,9,J2,analog-input 50,Space Temperature Setpoint Active,degrees-fahrenheit,1c3741db-1838-4492-9f5b-bf17b1b6628f,6f4d1cfe-3c54-4722-bb43-436ec23306af,72.501953125
AHU J2-9,723102,9,J2,analog-input 28,Duct Static Pressure Active,inches-of-water,7fc5459b-d135-406e-af64-c2e3e1d2e030,6f4d1cfe-3c54-4722-bb43-436ec23306af,1.345947265625
AHU J1-8,723104,8,J1,analog-input 35,Condenser Water Entering Temperature,degrees-fahrenheit,e69a6259-636a-4259-977e-8cd0cb94f38d,25d2095d-24d2-4af3-a168-5498cfec3215,77.638671875
AHU J1-8,723104,8,J1,analog-input 46,Condenser Water Leaving Temperature Active,degrees-fahrenheit,a0597703-2c59-42a9-b561-1470ca5c1ada,25d2095d-24d2-4af3-a168-5498cfec3215,79.587890625
AHU J1-8,723104,8,J1,analog-input 47,Condenser Water Temperature Local,degrees-fahrenheit,6ca72169-ca50-47b6-bef5-e325b04e1db2,25d2095d-24d2-4af3-a168-5498cfec3215,79.587890625
AHU J1-8,723104,8,J1,analog-input 38,Evaporator Leaving Temperature Circuit 1,degrees-fahrenheit,316e73f0-b420-47b9-8c5f-2183f752bdcc,25d2095d-24d2-4af3-a168-5498cfec3215,43.560546875
AHU J1-8,723104,8,J1,analog-input 39,Evaporator Leaving Temperature Circuit 2,degrees-fahrenheit,0d229e50-00a8-48bd-9ff3-d386e2056a75,25d2095d-24d2-4af3-a168-5498cfec3215,61.736328125
AHU J1-8,723104,8,J1,analog-input 40,Evaporator Leaving Temperature Circuit 3,degrees-fahrenheit,530681dc-4c58-4880-9ade-66a124c82562,25d2095d-24d2-4af3-a168-5498cfec3215,59.826171875
AHU J1-8,723104,8,J1,analog-input 42,Condensing Saturated Temperature Circuit 1,degrees-fahrenheit,c95a837a-b61a-4cdf-b1ed-678ba8474073,25d2095d-24d2-4af3-a168-5498cfec3215,90.353515625
AHU J1-8,723104,8,J1,analog-input 43,Condensing Saturated Temperature Circuit 2,degrees-fahrenheit,9c2e1418-d558-471c-b924-24529d02eb7e,25d2095d-24d2-4af3-a168-5498cfec3215,77.255859375
AHU J1-8,723104,8,J1,analog-input 44,Condensing Saturated Temperature Circuit 3,degrees-fahrenheit,1de5c754-6ca4-41ce-8412-0e46849089bb,25d2095d-24d2-4af3-a168-5498cfec3215,77.095703125
AHU J1-8,723104,8,J1,analog-input 25,Mixed Air Temperature,degrees-fahrenheit,09bb0c0e-c975-49b2-910d-6cd8e26c6cb2,25d2095d-24d2-4af3-a168-5498cfec3215,71.302734375
AHU J1-8,723104,8,J1,analog-input 24,Discharge Air Temperature Active,degrees-fahrenheit,2fd72f4c-6c08-43f0-b0d6-a4851159acec,25d2095d-24d2-4af3-a168-5498cfec3215,60.236328125
AHU J1-8,723104,8,J1,analog-input 15,Space Temperature Active,degrees-fahrenheit,cbb1c93d-080c-4dd9-89d8-6131aecb9c75,25d2095d-24d2-4af3-a168-5498cfec3215,76.916015625
AHU J1-8,723104,8,J1,analog-input 18,Outdoor Air Temperature Active,degrees-fahrenheit,696dad19-9e1a-484e-bac4-609b545c0e65,25d2095d-24d2-4af3-a168-5498cfec3215,-39.998046875
AHU J1-8,723104,8,J1,analog-input 52,Discharge Air Temperature Setpoint Active,degrees-fahrenheit,087c9eaf-8292-49f0-8f31-f8507406ea76,25d2095d-24d2-4af3-a168-5498cfec3215,57.001953125
AHU J1-8,723104,8,J1,analog-input 50,Space Temperature Setpoint Active,degrees-fahrenheit,b9d60b3b-59e5-4d4a-ac69-6d321b5f505e,25d2095d-24d2-4af3-a168-5498cfec3215,74.001953125
AHU J1-8,723104,8,J1,analog-input 28,Duct Static Pressure Active,inches-of-water,a298daaa-8f64-452f-a7b4-4c55960d6dd8,25d2095d-24d2-4af3-a168-5498cfec3215,1.27783203125
AHU J2-8,723105,8,J2,analog-input 35,Condenser Water Entering Temperature,degrees-fahrenheit,d9bdd669-5efb-4217-9d7a-35c493bf270a,2585ba4e-8b3b-4056-841f-47391592105d,76.837890625
AHU J2-8,723105,8,J2,analog-input 46,Condenser Water Leaving Temperature Active,degrees-fahrenheit,5dc10ad0-b5a1-40c8-8eca-a2e9bb4b275f,2585ba4e-8b3b-4056-841f-47391592105d,77.888671875
AHU J2-8,723105,8,J2,analog-input 47,Condenser Water Temperature Local,degrees-fahrenheit,6fc6598d-8bf2-4e46-a316-9e52255c7e99,2585ba4e-8b3b-4056-841f-47391592105d,77.888671875
AHU J2-8,723105,8,J2,analog-input 38,Evaporator Leaving Temperature Circuit 1,degrees-fahrenheit,30583194-0c94-4f2f-819e-4bb8083eeb01,2585ba4e-8b3b-4056-841f-47391592105d,38.361328125
AHU J2-8,723105,8,J2,analog-input 39,Evaporator Leaving Temperature Circuit 2,degrees-fahrenheit,eb6afd3c-7817-408e-8213-c42623040f31,2585ba4e-8b3b-4056-841f-47391592105d,62.373046875
AHU J2-8,723105,8,J2,analog-input 40,Evaporator Leaving Temperature Circuit 3,degrees-fahrenheit,4a22eca0-74b0-4cd4-9a68-f67eb263a3a1,2585ba4e-8b3b-4056-841f-47391592105d,59.505859375
AHU J2-8,723105,8,J2,analog-input 42,Condensing Saturated Temperature Circuit 1,degrees-fahrenheit,ad65d62e-5bb7-43b5-85fd-ab8c95271195,2585ba4e-8b3b-4056-841f-47391592105d,90.439453125
AHU J2-8,723105,8,J2,analog-input 43,Condensing Saturated Temperature Circuit 2,degrees-fahrenheit,caf67122-e68d-45b9-bf43-9397d28bcc9b,2585ba4e-8b3b-4056-841f-47391592105d,76.638671875
AHU J2-8,723105,8,J2,analog-input 44,Condensing Saturated Temperature Circuit 3,degrees-fahrenheit,d6dd4508-b447-4b75-9ed1-acb38b86d435,2585ba4e-8b3b-4056-841f-47391592105d,75.923828125
AHU J2-8,723105,8,J2,analog-input 25,Mixed Air Temperature,degrees-fahrenheit,74815fd2-8c4d-4822-98cc-a95d4e72b6d3,2585ba4e-8b3b-4056-841f-47391592105d,70.388671875
AHU J2-8,723105,8,J2,analog-input 24,Discharge Air Temperature Active,degrees-fahrenheit,db0d69c7-0a35-4c35-9896-a45106cf3efd,2585ba4e-8b3b-4056-841f-47391592105d,61.876953125
AHU J2-8,723105,8,J2,analog-input 15,Space Temperature Active,degrees-fahrenheit,84ba38f7-6dae-46f6-a1a9-e65e8d983ebc,2585ba4e-8b3b-4056-841f-47391592105d,77.044921875
AHU J2-8,723105,8,J2,analog-input 18,Outdoor Air Temperature Active,degrees-fahrenheit,ef873d9c-5b4d-49bd-978c-76ac87591071,2585ba4e-8b3b-4056-841f-47391592105d,-39.998046875
AHU J2-8,723105,8,J2,analog-input 52,Discharge Air Temperature Setpoint Active,degrees-fahrenheit,4dac74ba-1225-40db-8afc-f23cd1028c23,2585ba4e-8b3b-4056-841f-47391592105d,57.001953125
AHU J2-8,723105,8,J2,analog-input 50,Space Temperature Setpoint Active,degrees-fahrenheit,f781c765-7b13-482b-9942-d9091d7f45c0,2585ba4e-8b3b-4056-841f-47391592105d,74.001953125
AHU J2-8,723105,8,J2,analog-input 28,Duct Static Pressure Active,inches-of-water,bb448a56-5b0c-4adf-80dd-8bd9022968bb,2585ba4e-8b3b-4056-841f-47391592105d,1.615234375
AHU-J1-7,723107,7,J1,analog-input 35,Condenser Water Entering Temperature,degrees-fahrenheit,49ccef6a-9ee4-40cb-b6a3-b32bb7ae9702,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,77.638671875
AHU-J1-7,723107,7,J1,analog-input 46,Condenser Water Leaving Temperature Active,degrees-fahrenheit,31007c00-f5bd-4712-8ba8-5e801f190bf8,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,77.591796875
AHU-J1-7,723107,7,J1,analog-input 47,Condenser Water Temperature Local,degrees-fahrenheit,2cf89c6d-56cd-4425-af99-52d3d0d41ec3,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,77.591796875
AHU-J1-7,723107,7,J1,analog-input 38,Evaporator Leaving Temperature Circuit 1,degrees-fahrenheit,d279dc00-1e02-4d85-9c1c-d2cd57b01411,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,58.869140625
AHU-J1-7,723107,7,J1,analog-input 39,Evaporator Leaving Temperature Circuit 2,degrees-fahrenheit,1df7acf1-10fc-4259-9a25-8939cf158348,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,61.259765625
AHU-J1-7,723107,7,J1,analog-input 40,Evaporator Leaving Temperature Circuit 3,degrees-fahrenheit,4dbf55c6-cede-4558-8002-818c86c8c190,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,58.111328125
AHU-J1-7,723107,7,J1,analog-input 42,Condensing Saturated Temperature Circuit 1,degrees-fahrenheit,9f81dbae-9604-4d8b-9a17-3c02396213d7,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,88.111328125
AHU-J1-7,723107,7,J1,analog-input 43,Condensing Saturated Temperature Circuit 2,degrees-fahrenheit,c21c14c0-dff5-4f19-b9ab-2706adb1451d,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,78.427734375
AHU-J1-7,723107,7,J1,analog-input 44,Condensing Saturated Temperature Circuit 3,degrees-fahrenheit,7d25c554-591c-4e4b-8011-071b9a161cf2,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,77.896484375
AHU-J1-7,723107,7,J1,analog-input 25,Mixed Air Temperature,degrees-fahrenheit,46d44192-e9fb-4b88-9056-2dca31a8deb1,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,71.939453125
AHU-J1-7,723107,7,J1,analog-input 24,Discharge Air Temperature Active,degrees-fahrenheit,6da582e4-da7a-45ef-9f4f-caabdab7e77a,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,60.845703125
AHU-J1-7,723107,7,J1,analog-input 15,Space Temperature Active,degrees-fahrenheit,5a237e01-4248-498a-8a26-b2130ad724c9,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,8.955078125
AHU-J1-7,723107,7,J1,analog-input 18,Outdoor Air Temperature Active,degrees-fahrenheit,1efb464e-5116-493a-a011-6ce7052bfe1e,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,86.576171875
AHU-J1-7,723107,7,J1,analog-input 52,Discharge Air Temperature Setpoint Active,degrees-fahrenheit,89bcf179-1959-481a-a5a4-b315b7329333,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,0.0
AHU-J1-7,723107,7,J1,analog-input 50,Space Temperature Setpoint Active,degrees-fahrenheit,7aff8998-c057-4ea3-8e92-01858b792ee6,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,72.501953125
AHU-J1-7,723107,7,J1,analog-input 28,Duct Static Pressure Active,inches-of-water,4ae83ceb-bb91-4b93-9ea3-100449329517,c64e5ff0-3fd6-44d4-bdfe-94efe6ef521f,1.4951171875
AHU-J2-7,723108,7,J2,analog-input 35,Condenser Water Entering Temperature,degrees-fahrenheit,eca47de4-d452-49b4-89d6-58e3dc8f8947,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,76.400390625
AHU-J2-7,723108,7,J2,analog-input 46,Condenser Water Leaving Temperature Active,degrees-fahrenheit,1dc97c93-8520-4f13-967f-cb4844c72810,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,85.416015625
AHU-J2-7,723108,7,J2,analog-input 47,Condenser Water Temperature Local,degrees-fahrenheit,b4a489ce-c237-4397-bd6c-73edbb83010e,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,85.326171875
AHU-J2-7,723108,7,J2,analog-input 38,Evaporator Leaving Temperature Circuit 1,degrees-fahrenheit,5759f554-1939-4a58-bf1a-9c97e123ea26,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,51.595703125
AHU-J2-7,723108,7,J2,analog-input 39,Evaporator Leaving Temperature Circuit 2,degrees-fahrenheit,101629fd-1dfe-43e9-85b6-c5c5f5fd5d12,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,38.294921875
AHU-J2-7,723108,7,J2,analog-input 40,Evaporator Leaving Temperature Circuit 3,degrees-fahrenheit,de25c7ad-6647-4a59-98d2-3677a02b2b14,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,34.431640625
AHU-J2-7,723108,7,J2,analog-input 42,Condensing Saturated Temperature Circuit 1,degrees-fahrenheit,e00850df-2b1a-40a4-97d0-f2324c924b4e,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,77.189453125
AHU-J2-7,723108,7,J2,analog-input 43,Condensing Saturated Temperature Circuit 2,degrees-fahrenheit,d924207a-d54e-4180-ac0b-41fc8c9be34e,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,90.259765625
AHU-J2-7,723108,7,J2,analog-input 44,Condensing Saturated Temperature Circuit 3,degrees-fahrenheit,7ea8a45c-1c7d-4ab2-bc67-2f903f87d3e8,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,88.947265625
AHU-J2-7,723108,7,J2,analog-input 25,Mixed Air Temperature,degrees-fahrenheit,494272d6-eddb-4c49-9495-035cc6ec8ca8,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,73.751953125
AHU-J2-7,723108,7,J2,analog-input 24,Discharge Air Temperature Active,degrees-fahrenheit,830d7719-3db7-4cdc-81ea-3561f6539aa0,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,52.048828125
AHU-J2-7,723108,7,J2,analog-input 15,Space Temperature Active,degrees-fahrenheit,3d0bc058-4d1b-4d1d-b45a-f16cd0da6794,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,77.029296875
AHU-J2-7,723108,7,J2,analog-input 18,Outdoor Air Temperature Active,degrees-fahrenheit,3e970cf7-cfda-4b6d-ba84-38f5deb73851,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,89.205078125
AHU-J2-7,723108,7,J2,analog-input 52,Discharge Air Temperature Setpoint Active,degrees-fahrenheit,1032acfd-35a5-45e6-8fc3-a56813087657,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,0.0
AHU-J2-7,723108,7,J2,analog-input 50,Space Temperature Setpoint Active,degrees-fahrenheit,fa7a1c26-3087-45ef-b8b9-ec4b9fdda24b,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,72.501953125
AHU-J2-7,723108,7,J2,analog-input 28,Duct Static Pressure Active,inches-of-water,8db83c61-058d-428e-a1a8-e45a6b434d4b,a3939da7-e08f-44c5-8cba-4f6da7bdf4ed,1.455322265625
AHU-J1-6,723110,6,J1,analog-input 35,Condenser Water Entering Temperature,degrees-fahrenheit,e871484a-6ed3-4561-99c3-f296463d1e07,8cbbda74-50f8-4893-9792-edfac679f025,77.630859375
AHU-J1-6,723110,6,J1,analog-input 46,Condenser Water Leaving Temperature Active,degrees-fahrenheit,75fef231-719a-4a31-bf31-039636888f31,8cbbda74-50f8-4893-9792-edfac679f025,78.951171875
AHU-J1-6,723110,6,J1,analog-input 47,Condenser Water Temperature Local,degrees-fahrenheit,169ab3d6-b09b-483a-9597-efb214c4c04d,8cbbda74-50f8-4893-9792-edfac679f025,79.373046875
AHU-J1-6,723110,6,J1,analog-input 38,Evaporator Leaving Temperature Circuit 1,degrees-fahrenheit,6c92ca2b-6f79-499a-b856-612c25fa6a6f,8cbbda74-50f8-4893-9792-edfac679f025,37.748046875
AHU-J1-6,723110,6,J1,analog-input 39,Evaporator Leaving Temperature Circuit 2,degrees-fahrenheit,258e7030-288f-401f-af70-93eb0131ea7c,8cbbda74-50f8-4893-9792-edfac679f025,58.388671875
AHU-J1-6,723110,6,J1,analog-input 40,Evaporator Leaving Temperature Circuit 3,degrees-fahrenheit,a1ca3ec4-91b0-4f3a-a27b-e3f69c91819e,8cbbda74-50f8-4893-9792-edfac679f025,51.708984375
AHU-J1-6,723110,6,J1,analog-input 42,Condensing Saturated Temperature Circuit 1,degrees-fahrenheit,13f95939-0a85-4118-8bd0-43ca11946e1d,8cbbda74-50f8-4893-9792-edfac679f025,86.837890625
AHU-J1-6,723110,6,J1,analog-input 43,Condensing Saturated Temperature Circuit 2,degrees-fahrenheit,5bb1022a-1405-4ccc-9052-4df4f8cdbb8a,8cbbda74-50f8-4893-9792-edfac679f025,78.314453125
AHU-J1-6,723110,6,J1,analog-input 44,Condensing Saturated Temperature Circuit 3,degrees-fahrenheit,d68719c2-3c5d-4444-b456-c9f4432df162,8cbbda74-50f8-4893-9792-edfac679f025,77.658203125
