action,building,building_uuid,vbc_name,vbc_scope,tags_net_new,tags_already_live,devices,existing_mount_uuids,storey_uuid,placement_confidence,placement_source
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,3rd Floor,suite,1287,111,28,,acf5861a-1021-4136-960a-c576b264729b,suite:1398,ebo-vav-summary:1398
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 900 (Gallard Spahr),suite,1239,104,18,,c5b8b053-fd71-404e-948b-72e261151a4a,suite:1343,ebo-vav-summary:1343
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,7th Floor,suite,893,76,19,,4a301d69-7caa-4846-851d-8bc46d394bb0,suite:969,ebo-vav-summary:969
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 650,suite,828,72,18,,d80224b6-efd2-46de-9479-718f526abdbb,suite:900,ebo-vav-summary:900
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 500,suite,782,68,17,,c7c95c1c-f210-4cbe-a88a-7c1829b120e8,suite:850,ebo-vav-summary:850
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 750,suite,423,36,9,,4a301d69-7caa-4846-851d-8bc46d394bb0,suite:459,ebo-vav-summary:459
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,2nd Floor,suite,376,32,8,,7281e29f-60ad-4b8e-94e7-d71952423175,suite:408,ebo-vav-summary:408
CREATE,Building I,0b48fab1-bbb0-47f9-ac40-9a0609caf1ae,BACnet at Building I,building,349,37,10,,,building:386,building-vbc:386
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 930,suite,329,28,7,,c5b8b053-fd71-404e-948b-72e261151a4a,suite:357,ebo-vav-summary:357
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 680,suite,322,28,7,,d80224b6-efd2-46de-9479-718f526abdbb,suite:350,ebo-vav-summary:350
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 550,suite,276,24,6,,c7c95c1c-f210-4cbe-a88a-7c1829b120e8,suite:300,ebo-vav-summary:300
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 670,suite,276,24,6,,d80224b6-efd2-46de-9479-718f526abdbb,suite:300,ebo-vav-summary:300
CREATE,Building G,2f01d2b1-dd62-4635-bed6-766a2baff274,BACnet at Building G,building,238,6,7,,,building:244,building-vbc:244
CREATE,Building L,e6f8d1d1-77fc-442d-b0be-6aa5edf9beba,BACnet at Building L,building,225,21,7,,,building:246,building-vbc:246
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 270,suite,188,16,4,,7281e29f-60ad-4b8e-94e7-d71952423175,suite:204,ebo-vav-summary:204
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 260,suite,188,16,4,,7281e29f-60ad-4b8e-94e7-d71952423175,suite:204,ebo-vav-summary:204
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 240,suite,188,16,4,,7281e29f-60ad-4b8e-94e7-d71952423175,suite:204,ebo-vav-summary:204
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 770,suite,188,16,4,,4a301d69-7caa-4846-851d-8bc46d394bb0,suite:204,ebo-vav-summary:204
CREATE,One Summerlin (Bldg J),623a9f1d-3506-4144-b82b-ad46430e48b3,Suite 530,suite,184,16,4,,c7c95c1c-f210-4cbe-a88a-7c1829b120e8,suite:200,ebo-vav-summary:200
